Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	2247.00377503301	4062.38452123618	4642.41251542685	61.051950558736	132.288239666004
2	794330	3067.18357629163	4478.09241840483	5427.79207398809	55.5915539765427	133.833268662103
3	630960	4138.65010538939	4907.44390081327	6419.61294273019	49.8576819388487	135.443295658039
4	501190	5233.21206078213	5395.55841034558	7516.55233684743	45.8750812148813	137.063325653948
5	398110	6569.80378772418	5618.12071430074	8644.39715478472	40.5351703243067	142.078422641286
6	316230	7735.45390931731	5565.5993193202	9529.59301158186	35.7347239290661	143.523446637638
7	251190	8641.38347919608	5421.30286208173	10201.1780279014	32.1027273629682	147.808527626819
8	199530	9635.77595074994	5278.89790881496	10987.0351462413	28.7158480531833	149.243555623196
9	158490	10555.5778255173	5044.12349107349	11698.8634073465	25.5414247059271	150.718581619472
10	125890	11402.6462723766	4754.93817853965	12354.3425197247	22.6362848381717	152.148607615862
11	100000	12165.2102913397	4429.12564287121	12946.4085905264	20.0056192689196	153.683636611986
12	79433	12830.9033723096	4089.3908872705	13466.8184504892	17.6778180751186	155.153663608275
13	63096	13430.0604936342	3726.21781230522	13937.4037771536	15.5068628064722	156.798692604121
14	50119	13929.5998695303	3372.83506902354	14332.1236712517	13.6113079452969	158.278718600385
15	39811	14362.5228759432	3034.12474934986	14679.5087232716	11.9285161410565	159.833748596459
16	31623	14743.8361999981	2721.41462461015	14992.8917641466	10.4579385122668	161.223773592949
17	25119	15038.8300238257	2466.17973273103	15239.6998316783	9.31289996342968	162.633799589389
18	19953	15314.8315386223	2213.10727091005	15473.9105868212	8.22274545665011	164.063826585779
19	15849	15568.9013428488	2038.99041769228	15701.8524686357	7.4613104328489	165.503853582143
20	12589	15771.9984146219	1861.54964733666	15881.4766656107	6.73140798331692	167.023882578305
21	10000	15955.7758828245	1748.57474115394	16051.30205461	6.25402054563022	169.363928572397
22	7943.3	16150.2969401652	1641.74886536257	16233.5279773815	5.80442972612653	170.623949569216
23	6309.6	16340.2010949749	1556.73053062502	16414.1884285882	5.44214211603152	172.078975565542
24	5011.9	16519.8419032314	1492.68363877068	16587.1420369277	5.16305512943956	173.453999562071
25	3981.1	16700.0414155974	1451.14628197286	16762.9713599454	4.96622923013741	174.784026558713
26	3162.3	16873.7999444477	1422.25635788311	16933.6333287567	4.81795012229351	176.239053555039
27	2511.9	17044.7713165269	1407.3541381954	17102.7738949854	4.72009586210624	177.749079551227
28	1995.3	17221.7099879872	1405.4234574813	17278.9614851465	4.66543586488923	179.20910954754
29	1584.9	17409.7599490597	1415.83729297894	17467.2360928704	4.64931001632312	180.529131544208
30	1258.9	17598.2322721656	1433.52209587886	17656.5218744934	4.65693470497992	181.844157540888
31	1000	17784.339068301	1462.50889555247	17844.3730168888	4.70118424097019	183.254183537328
32	794.33	17980.1671763004	1496.1112300052	18042.3047446898	4.756565388052	184.724208533616
33	630.96	18190.2485662341	1540.46645527437	18255.3603032427	4.84062271873028	186.039232530296
34	501.19	18398.1366747609	1590.68698309215	18466.7733559861	4.94145522694456	187.494261526622
35	398.11	18620.3600238834	1647.62114295583	18693.1127116313	5.05664300838393	188.849285523201
36	316.23	18857.0187944106	1713.99031694454	18934.7543057557	5.19357270646137	190.364315519376
37	251.19	19097.1269755648	1784.48234774472	19180.3189746745	5.33835679781606	191.854344515614
38	199.53	19346.4553844265	1865.15751902209	19436.1557030286	5.50676580287152	193.309372511941
39	158.49	19612.3225387571	1953.86759261875	19709.4087667216	5.68929011947901	194.839397508078
