Time (s);WE(1).Potential (V);Corrected time (s);Index;dWE(1).Potential/dt (V/s);OCP value (V)
4.36480098897994;-0.00397644042968751;0;1;0;-0.00436188940908395
4.46480098872746;-0.00397338867187499;0.0999999997475243;2;3.05194698739797E-05;
4.56480098847499;-0.003985595703125;0.199999999495049;3;-0.000198369569261558;
4.66480098822251;-0.00398864746093749;0.299999999242573;4;9.66480947681703E-05;
4.76480098797003;-0.0039825439453125;0.399999998990097;5;0.000106802624941338;
4.86480098771756;-0.0039825439453125;0.499999998737621;6;-8.1375939771533E-05;
4.96480098746508;-0.0039947509765625;0.599999998485146;7;-0.000203446063096635;
5.06480098721261;-0.003985595703125;0.69999999823267;8;0.000310254894429818;
5.16480098696013;-0.00399169921875001;0.799999997980194;9;-0.000259398424532264;
5.26480098670766;-0.0039825439453125;0.899999997727718;10;0.000269577780272812;
5.36480098645518;-0.0039947509765625;0.999999997475243;11;-0.000350950605934486;
5.4648009862027;-0.003985595703125;1.09999999722277;12;0.000340772792696953;
5.56480098595023;-0.00400695800781251;1.19999999697029;13;-0.000539143162313849;
5.66480098569775;-0.00399169921875001;1.29999999671782;14;0.000559492560569197;
5.76480098544528;-0.003997802734375;1.39999999646534;15;-0.000361120677553117;
5.8648009851928;-0.00399169921875001;1.49999999621286;16;0.000233962418860756;
5.96480098494033;-0.0040008544921875;1.59999999596039;17;-0.00025939685292542;
6.06480098468785;-0.003985595703125;1.69999999570791;18;0.000406895211199299;
6.16480098443537;-0.00400390624999999;1.79999999545544;19;-0.000544226611964405;
6.2648009841829;-0.003997802734375;1.89999999520296;20;0.000376375741325319;
6.36480098393042;-0.004010009765625;1.99999999495049;21;-0.000356029428075999;
6.46480098367795;-0.0039947509765625;2.09999999469801;22;0.000442507473053411;
6.56480098342547;-0.00400390624999999;2.19999999444553;23;-0.000386555126169696;
6.664800983173;-0.0040130615234375;2.29999999419306;24;-1.01793657449889E-05;
6.76480098292052;-0.00400390624999999;2.39999999394058;25;0.000244146445766091;
6.86480098266804;-0.004010009765625;2.49999999368811;26;-0.000249229924520478;
6.96480098241557;-0.0040252685546875;2.59999999343563;27;-0.000178013171534985;
7.06480098216309;-0.00401611328125;2.69999999318316;28;0.000325514614814892;
7.16480098191062;-0.00401611328125;2.79999999293068;29;-0.000157676171511412;
7.26480098165814;-0.00400695800781251;2.8999999926782;30;0.000198362584342249;
7.36480098140567;-0.0040130615234375;2.99999999242573;31;-0.000218702683923766;
7.46480098115319;-0.00402221679687501;3.09999999217325;32;-6.61270678392611E-05;
7.56480098090071;-0.00402221679687501;3.19999999192078;33;8.64718313096091E-05;
7.66480098064824;-0.00402221679687501;3.2999999916683;34;-3.05163648590678E-05;
7.76480098039576;-0.0040283203125;3.39999999141583;35;-0.000111893859866541;
7.86480098014329;-0.00400695800781251;3.49999999116335;36;0.000462844473076984;
7.96480097989081;-0.0040252685546875;3.59999999091087;37;-0.000605253153480589;
8.06480097963833;-0.0040252685546875;3.6999999906584;38;0.000284829759038985;
8.16480097938586;-0.0040283203125;3.79999999040592;39;-0.000116985094791744;
8.26480097913338;-0.0040252685546875;3.89999999015345;40;9.15584096219391E-05;
8.36480097888091;-0.00403747558593751;3.99999998990097;41;-0.000269577780272812;
8.46480097862843;-0.00404052734375;4.0999999896485;42;9.66527513810433E-05;
8.56480097837596;-0.0040283203125;4.19999998939602;43;0.000218702683923766;
8.66480097812348;-0.0040252685546875;4.29999998914354;44;-9.66325678746216E-05;
8.764800977871;-0.0040283203125;4.39999998889107;45;-5.08657831232995E-05;
8.86480097761853;-0.00404052734375;4.49999998863859;46;-0.000178013171534985;
8.96480097736605;-0.00403747558593751;4.59999998838612;47;0.000188186328159645;
9.06480097711358;-0.00403442382812499;4.69999998813364;48;-2.03338950086618E-05;
9.1648009768611;-0.00401916503906249;4.79999998788117;49;0.000254304090049118;
9.26480097660863;-0.0040435791015625;4.89999998762869;50;-0.000615441822446883;
9.36480097635615;-0.00404052734375;4.99999998737621;51;0.000391651003155857;
9.46480097610367;-0.00403442382812499;5.09999998712374;52;-5.08657831232995E-06;
9.5648009758512;-0.00404968261718749;5.19999998687126;53;-0.000340783677529544;
9.66480097559872;-0.00403442382812499;5.29999998661879;54;0.000478107307571918;
9.76480097534625;-0.0040313720703125;5.39999998636631;55;-0.000172942105564289;
9.86480097509377;-0.0040435791015625;5.49999998611383;56;-0.000208531084354036;
9.9648009748413;-0.00403442382812499;5.59999998586136;57;0.00032043582177721;
10.0648009745888;-0.00403747558593751;5.69999998560888;58;-0.000203460032935254;
10.1648009743363;-0.00404968261718749;5.79999998535641;59;-0.000157660644617863;
10.2648009740839;-0.004046630859375;5.89999998510393;60;0.00018817545787897;
10.3648009738314;-0.00404968261718749;5.99999998485146;61;-0.000132233966724016;
10.4648009735789;-0.004046630859375;6.09999998459898;62;0.000101711390016135;
10.5648009733264;-0.00405273437500001;6.1999999843465;63;-0.000157669957843609;
10.664800973074;-0.00404052734375;6.29999998409403;64;0.000305186928017065;
10.7648009728215;-0.00406494140624999;6.39999998384155;65;-0.000610355229582638;
10.864800972569;-0.004046630859375;6.49999998358908;66;0.000661203928757459;
10.9648009723165;-0.004046630859375;6.5999999833366;67;-0.000295002915663645;
11.0648009720641;-0.0040557861328125;6.69999998308413;68;-0.000106805724499282;
11.1648009718116;-0.0040435791015625;6.79999998283165;69;0.000330604292685166;
11.2648009715591;-0.00406494140624999;6.89999998257917;70;-0.000564571411814541;
11.3648009713066;-0.0040557861328125;6.9999999823267;71;0.000457760994322598;
