Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	2240.67567198145	2877.06747962083	3646.66213807932	52.0883490465417	73.2381548150914
2	794330	2807.23840381819	3036.14933582661	4135.06834832413	47.2433779565331	75.4431918095243
3	630960	3415.38400223629	3159.40308392452	4652.5988145813	42.7703882924881	76.8782178059012
4	501190	4134.14044087268	3264.47194311396	5267.62700390197	38.295941625677	78.3682478021392
5	398110	4894.60926890929	3278.8054848519	5891.32967188118	33.8173770274166	83.4183397893889
6	316230	5554.68785732915	3280.74989567105	6451.1919108259	30.5672554648769	84.7433637860436
7	251190	6006.48066892121	3026.56063027415	6725.91103679269	26.7427363783101	88.8034407757929
8	199530	6538.67343184922	2914.3428495853	7158.74601402367	24.0229430596225	90.148464772397
9	158490	7034.81593765176	2767.03920030124	7559.44053569065	21.4714501299477	91.5534907688497
10	125890	7476.18894347518	2584.32996020243	7910.25678860935	19.0689768700621	92.9385207653528
11	100000	7878.01183753346	2392.93660430349	8233.42068064865	16.8960955295167	94.4485457615403
12	79433	8231.88840124018	2193.62383324145	8519.15325441663	14.9213679484338	96.3135777568316
13	63096	8536.24508813301	1980.40533786028	8762.96100110575	13.0615286471237	97.7336057532464
14	50119	8806.71252152489	1798.2206384847	8988.42493996893	11.540443911173	99.0386297499515
15	39811	9023.5190720289	1609.17805770694	9165.87968853371	10.1113512735312	100.39365374653
16	31623	9221.74790049654	1440.97900425527	9333.65174146844	8.88114978028785	101.703677743223
17	25119	9392.79464020568	1302.72833384218	9482.70490234046	7.89623180677145	103.033703739865
18	19953	9546.55523843662	1158.80120835281	9616.62815965147	6.92094495466352	104.343728736557
19	15849	9657.48155746909	1056.5673899293	9715.10600468763	6.24355790513714	105.668750733212
20	12589	9778.0550432336	969.160684894529	9825.96727358947	5.66043485999283	106.993777729867
21	10000	9887.02379880365	894.466662527313	9927.40198684845	5.16940491565057	110.833848720171
22	7943.3	9989.75008088414	841.197534095388	10025.1044867319	4.81329701887152	112.068872717053
23	6309.6	10075.6447612074	788.928711299225	10106.4843474652	4.47715722569127	113.403896713683
24	5011.9	10178.3792565735	748.98770583743	10205.8996112122	4.20859016163656	114.758921710262
25	3981.1	10265.1234460637	722.874626077906	10290.5445476881	4.02814485834283	116.198947706626
26	3162.3	10345.9841912976	716.929391318414	10370.7944073111	3.96399875490457	117.513970703306
27	2511.9	10441.1949949034	695.65223841735	10464.3435034603	3.81173970699003	118.848994699935
28	1995.3	10522.6993218658	685.42092531011	10544.9989503673	3.72683132740787	120.164021696615
29	1584.9	10615.7764806936	677.833153198907	10637.3947972059	3.65346124959799	121.439045693396
30	1258.9	10706.2858061464	683.350978066277	10728.0717895676	3.65206838941619	122.749066690088
31	1000	10800.1640304372	684.116638727523	10821.8093986049	3.62445400932925	124.149095686554
32	794.33	10891.8966123402	680.348907685717	10913.1245044715	3.57426653141007	125.614120682855
33	630.96	10991.7536941922	690.585010133354	11013.4262121289	3.59502848870152	126.924146679547
34	501.19	11087.9353045302	693.796463588814	11109.6202838051	3.58045479989281	128.284169676114
35	398.11	11190.6673469895	699.251952890138	11212.4925402248	3.57549411070576	129.584193672831
36	316.23	11290.9520385108	709.595843286239	11313.2278416356	3.59610476312661	131.064223669095
37	251.19	11401.6265049919	722.687142341714	11424.5071519536	3.62681624766859	132.424247665661
38	199.53	11512.3136501649	729.933336487669	11535.4309956537	3.62795802881272	133.679271662492
39	158.49	11612.0729470958	739.367794689417	11635.5877747752	3.643237928109	135.044295659046
40	125.89	11724.5657779937	750.240619603569	11748.5447468954	3.66129514142254	136.48432465541
41	100	11836.8547931929	765.533614617647	11861.5839208026	3.70037864303354	137.779345652141
42	79.433	11949.7355006511	774.749853280144	11974.8242521834	3.70952613841664	139.184373648593
43	63.096	12064.8623329129	791.910587210954	12090.8240203171	3.75537991816162	140.699402644768
44	50.119	12338.4040912057	789.018567081855	12363.606505267	3.65897898635301	142.174426641044
45	39.811	12302.337259657	817.227965573926	12329.451066372	3.80049904729203	151.324598617942
46	31.623	12421.3668630441	835.733488432751	12449.4499962857	3.8491691893693	152.989627613738
47	25.119	12535.5705533752	835.938575968513	12563.4120525214	3.81513905341523	154.569658609749
48	19.953	12670.7337826895	854.597995082485	12699.5209486417	3.85856204999784	156.489693604902
49	15.849	12793.0213780999	889.931104999286	12823.9375135785	3.97930129654036	158.47473159989
50	12.589	12925.5400248973	890.181750106905	12956.1571649717	3.93973852051949	160.454767594891
51	10	13044.3140598229	911.032607326655	13076.0892358115	3.99512764177919	162.77980958902
52	7.9433	13164.1549585579	940.037398421927	13197.6757833854	4.0844935625315	165.119853583112
53	6.3096	13285.154794388	966.452851542628	13320.2615974727	4.1607567491126	167.454896577217
54	5.0119	13400.5892856177	1025.75795616419	13439.7906451866	4.37721181264611	169.934942570956
55	3.9811	13555.9462348227	1064.94115801189	13597.7122337337	4.49187196998366	172.424988564669
56	3.1623	13644.262487109	1151.9679068045	13692.8057342328	4.82596542247112	175.045035558054
57	2.5119	13883.2160249939	1281.29075016055	13942.2162220751	5.27292660392825	177.600084551603
