Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	3817.87140712427	6076.25870999106	7176.14534357264	57.8577850181003	510.900096710101
2	794330	5194.78588528781	6227.78942054736	8109.94213670277	50.1675016156445	512.225120706756
3	630960	6660.58102806647	6534.74201847485	9330.92668921259	44.4536074974576	513.840149702678
4	501190	8112.61810822207	6920.52800336879	10663.4084801842	40.4660783144991	515.320178698942
5	398110	10044.0258817514	7511.87869038954	12542.359322409	36.7926378945805	524.390348676042
6	316230	11527.0046725439	7631.59411295629	13824.3649194369	33.5070371232948	525.725371672671
7	251190	12792.7289537451	7311.74713244253	14734.8417097969	29.7503381336506	532.090490656601
8	199530	14180.4688669157	7168.68716100565	15889.4862376961	26.8180783886968	535.745554647373
9	158490	15471.6907106891	6892.81450734868	16937.6534762032	24.0135169159153	538.155601641288
10	125890	16672.2010537034	6506.29654488154	17896.76458763	21.318126243708	541.250657633473
11	100000	17719.8446645455	6051.67665984747	18724.7345863957	18.8560486894157	542.710684629787
12	79433	18681.3319077038	5546.69386435177	19487.3798821348	16.5367360309831	543.995708626543
13	63096	19495.0576804015	5040.02786852518	20136.016360683	14.4952153034809	545.325734623185
14	50119	20193.2002105929	4533.4820755438	20695.8400282368	12.6534065302347	546.825760619398
15	39811	20789.6464200369	4015.544211882	21173.8988754488	10.9321230949705	548.720795614613
16	31623	21302.4572109876	3505.79629758493	21589.0085670027	9.3455325561394	550.76583660945
17	25119	21657.8683307832	3116.62525652102	21880.9646410556	8.18880040793156	552.210860605802
18	19953	22014.869502795	2758.36415723287	22187.0018715689	7.1416863628995	554.095896601042
19	15849	22331.0700607625	2420.12689786971	22461.8277141571	6.18528263535864	556.320938595425
20	12589	22560.9300120543	2140.02611072934	22662.1992481625	5.41860169654536	558.080970590981
21	10000	22796.1138893779	1876.83878115551	22873.2449002746	4.70663335312126	560.321013585325
22	7943.3	22988.70151396	1665.35115428592	23048.9433980178	4.14339205575284	561.53103458227
23	6309.6	23169.7498219539	1484.91139106532	23217.2838344895	3.66697785396408	562.881059578862
24	5011.9	23323.9116616741	1328.99519984977	23361.7440154368	3.26118402912096	564.236084575441
25	3981.1	23460.4816418506	1197.19290673346	23491.0082738809	2.92128069664233	565.546107572133
26	3162.3	23578.3683961476	1082.9242719152	23603.2239578232	2.62967378072941	566.871133568788
27	2511.9	23698.8547350867	986.225597380516	23719.3667007294	2.38298346053302	568.651166564294
28	1995.3	23814.8408423775	904.959591728708	23832.0287892247	2.17618207531324	569.981190560936
29	1584.9	23907.9882170773	835.006478278218	23922.5654227692	2.00028994243045	571.226214557792
30	1258.9	24007.5573436826	777.910999012949	24020.1572670246	1.85589176437457	572.566236554409
31	1000	24085.4642378826	722.815165714182	24096.3077943096	1.71895512370984	574.101264550534
32	794.33	24183.1490484665	679.429132097825	24192.691496522	1.60931001855428	575.586292546784
33	630.96	24270.9317671456	642.771165474182	24279.4415837062	1.51701916754941	576.826318543654
34	501.19	24337.999828505	609.903226744788	24345.6406282173	1.43551519450452	578.146342540321
35	398.11	24423.9180959101	582.937515661796	24430.8737318765	1.36724661660786	579.416364537114
36	316.23	24490.547390108	558.957727213145	24496.9252194625	1.30745789677544	580.70138953387
37	251.19	24560.4657668237	542.431539508979	24566.4549876121	1.26520345757362	582.036412530499
38	199.53	24630.7766249767	528.993144214457	24636.4565409907	1.23034755277429	583.761446526144
39	158.49	24687.6165544721	519.696699812782	24693.0859918407	1.20594996474145	585.396477522016
40	125.89	24763.4240303396	516.292176955991	24768.8055286965	1.19438562590573	586.871502518292
41	100	24807.6365653879	515.048492697525	24812.9826282574	1.18938641356616	588.871538513242
42	79.433	24878.2494398535	519.201669493114	24883.6666423012	1.1955723295475	590.211565509859
43	63.096	24927.1879924515	529.495610919491	24932.8110491577	1.21687621205296	591.641589506249
44	50.119	24949.2029134878	599.762715489194	24956.4108263444	1.3770882862046	609.926932460083
45	39.811	25038.623096104	576.918976343073	25045.2686560559	1.3199278018383	619.482107435958
46	31.623	25082.0685755708	585.631513388046	25088.9044858301	1.33753396428134	624.282196423839
47	25.119	25164.5891202633	649.256653467614	25172.9632700194	1.47792658402699	626.732242417653
48	19.953	25232.8482547419	699.490700596469	25242.5418349074	1.58791441071557	628.787280412465
49	15.849	25314.3668829854	754.695217474458	25325.6142187641	1.70764873705485	631.447329405749
50	12.589	25409.1647080611	821.109378209268	25422.4285183844	1.85089655987344	633.892372399576
51	10	25484.9200285526	913.000436008008	25501.2689617179	2.05175097547351	636.157414393857
52	7.9433	25573.4125398531	1045.20189269268	25594.7626660222	2.34041295618796	638.512457387911
53	6.3096	25731.6848990072	1186.17179449508	25759.0102928636	2.63933586061497	640.842504382028
54	5.0119	25821.9433822797	1303.43727341807	25854.81983622	2.88971749459373	643.412548375539
55	3.9811	25970.7930605667	1468.2442267131	26012.2631330697	3.235740412388	645.862594369354
56	3.1623	26206.7579322907	1677.31062810495	26260.3795148668	3.66210567331612	648.312642363168
57	2.5119	26393.0045895347	1996.80529368299	26468.4325687049	4.32656212263142	651.342698355518
58	1.9953	26602.6267619211	2229.60028191942	26695.8960900588	4.79083625704532	654.517754347502
59	1.5849	26671.913202682	2742.3145710609	26812.5202675551	5.87032782744039	657.372809340293
60	1.2589	26962.1406430136	2683.54949446272	27095.3587527989	5.68394557442757	660.247863333034
61	1	27421.4500526451	3213.14232752193	27609.0602267919	6.68322752131233	666.682983316787
62	0.79433	27796.4260312197	3650.85750254492	28035.1575813827	7.48255132740998	669.78303730896
63	0.63096	28146.2787429445	4110.6950451762	28444.87336639	8.30916270565805	673.263101300174
64	0.50119	28598.9232931262	4701.46847588599	28982.7917798797	9.33553608989896	677.013171290706
65	0.39811	29018.669589686	5361.739134058	29509.8531222549	10.4683984614453	681.468253279458
