Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	2502.88569999488	1750.22729151026	3054.13365771477	34.9644684778369	779.304757032445
2	794330	2755.87549583212	1630.46989620915	3202.07461358605	30.6100059397923	781.400794027153
3	630960	3055.39997731156	1543.5275747349	3423.14860841923	26.8020017671276	783.411830022075
4	501190	3346.57104446189	1469.49435076954	3654.98993193885	23.7064932895066	785.55286801667
5	398110	3640.14508841533	1338.39938153257	3878.39775799247	20.187338578327	793.863023995689
6	316230	3868.45671079971	1232.90695601327	4060.17448954071	17.6774810744899	795.779060990851
7	251190	4000.35245529427	1073.67773414573	4141.93235620516	15.0238710955566	802.638185973533
8	199530	4187.27191375313	975.988085260125	4299.51146321015	13.1204993688789	804.579220968633
9	158490	4336.71271254054	873.561696573448	4423.82042908966	11.3889166198879	806.615261963492
10	125890	4457.03088617411	773.503621927597	4523.65252571913	9.8454397021352	808.761299958074
11	100000	4556.95312638583	680.896917102175	4607.54190515907	8.49822542218194	810.767335953009
12	79433	4638.01909361045	597.273160011842	4676.31867395344	7.33802935097032	812.688372948159
13	63096	4704.53030049112	523.205315619094	4733.53453040444	6.34596295136247	814.814411942791
14	50119	4759.49691561083	457.74182763766	4781.45777671184	5.49349222005614	816.8704479376
15	39811	4803.59335257457	401.108156540419	4820.31086654604	4.77322108194407	818.796483932738
16	31623	4837.85012984689	353.604709196057	4850.75562868561	4.180388692115	820.742522927824
17	25119	4872.96324893339	316.437708651326	4883.22676607507	3.71542403039632	822.663557922974
18	19953	4905.37412983098	284.926585629283	4913.64208228616	3.32426603458925	824.769596917657
19	15849	4933.10624054723	258.714342974482	4939.8856557401	3.00209878616249	826.670629912857
20	12589	4958.63445349474	237.828706071847	4964.33461168936	2.74594684173141	828.77666890754
21	10000	4979.01280166498	220.635189385479	4983.8989120907	2.53729021203119	830.742704902576
22	7943.3	5006.08687557711	207.446481317616	5010.38320375163	2.37291357506483	832.7137448976
23	6309.6	5029.69236140224	197.219617585753	5033.55747239551	2.24547845987327	834.674778892649
24	5011.9	5052.96705746306	189.136385486988	5056.5055775824	2.14362369643629	836.700814887534
25	3981.1	5074.88145611291	183.767081570929	5078.20757097106	2.07383755284675	838.701854882481
26	3162.3	5096.41189565822	179.043673639747	5099.55594608757	2.01204883410112	840.632888877606
27	2511.9	5119.62138031856	176.632872735144	5122.667493557	1.97598703866039	842.578926872693
28	1995.3	5138.12545264135	175.492281333794	5141.12154183196	1.95617253435683	844.489958867868
29	1584.9	5163.17114776102	174.983022105679	5166.13543754875	1.9410460272808	846.641001862437
30	1258.9	5183.39071964993	176.743327981681	5186.4031425005	1.9529156432058	848.507033857726
31	1000	5207.58215258085	177.69095898282	5210.61281931242	1.95426462848424	850.428068852876
32	794.33	5229.63009157197	180.610799417893	5232.74795452078	1.97798411221294	852.594111847407
33	630.96	5258.00010483249	184.931155030049	5261.25124229201	2.01434169417715	854.49014684262
34	501.19	5277.75709167309	189.976157176773	5281.1751399666	2.061507260086	856.426181837732
35	398.11	5303.37023878557	196.411376344424	5307.00605976609	2.1209912742531	858.492220832516
36	316.23	5331.63314512334	204.787112026258	5335.564614493	2.19963974064639	860.388254827728
37	251.19	5358.89045334455	216.056531931463	5363.24410370604	2.30876646270004	862.374293822714
38	199.53	5386.79233910601	228.254817543823	5391.62609667837	2.42634543886024	864.425329817536
39	158.49	5419.35650000168	241.933848753009	5424.75408302376	2.55613204324575	866.49136881232
40	125.89	5448.38485301715	258.882640508023	5454.53185233555	2.7203906019135	868.592405807015
41	100	5479.25227826019	278.19627356903	5486.3101165945	2.90656390522876	870.568444802026
42	79.433	5517.9242701305	299.664211317491	5526.05527392187	3.10853216573619	872.589481796923
43	63.096	5555.78299529983	323.098426398088	5565.17001393522	3.32830652377004	874.680519791644
