Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	3141.62935533624	9185.80588345277	9708.18545016451	71.1188443915721	44.4526728877678
2	794330	5416.06276655059	10180.2612981254	11531.3249884532	61.9863042484067	47.3876958803576
3	630960	7967.01338816019	11805.0580541129	14241.9344889695	55.9853209526909	49.747741874399
4	501190	10514.7461634679	13477.3508913624	17093.8256084199	52.0393931304161	52.2427858680996
5	398110	13963.3358320537	16890.0220036662	21914.5520338209	50.4187461314218	60.5079398472321
6	316230	17135.7107839127	18515.0732539377	25227.7728241829	47.2157225699644	62.6879798417281
7	251190	20426.0062023143	19137.3576673758	27990.3588377507	43.1344349665178	69.2531038251527
8	199530	24049.6357217986	20049.9781233192	31311.1258356641	39.8176817203362	71.2431398201284
9	158490	27847.0385850447	20608.7723990761	34643.6005310344	36.5040519451896	73.6531848140436
10	125890	31615.6353979824	20809.9084748353	37849.7119189722	33.3535412453864	77.7982588035783
11	100000	35290.9560486283	20669.6892899608	40898.5040578471	30.3572356387933	83.7683717885052
12	79433	38908.6713197357	20166.4536109694	43824.314656485	27.3978109099313	85.9384127830264
13	63096	42269.73894326	19461.2912698866	46534.6396593196	24.7216824887517	87.8934477780904
14	50119	45374.0602554782	18467.1701425918	48988.1793613847	22.1462447426604	90.4034937717531
15	39811	48569.7939709067	17476.3163277559	51618.276983682	19.7896759243031	92.5335337663753
16	31623	51060.0768846056	16211.325405192	53571.8071643552	17.6143894716557	94.5535717612752
17	25119	53290.6929271851	15097.3452590687	55387.9751076988	15.8175175168495	96.4586067564654
18	19953	55300.0831502109	14076.6173041311	57063.5641293742	14.281321970163	98.5886467510876
19	15849	57227.4022240788	13016.0008299912	58688.9414023019	12.8135698649067	100.613683745975
20	12589	59040.5352676682	12071.7527461876	60262.028003195	11.5557338062278	102.783722740496
21	10000	60686.4768255816	11105.6168553447	61694.271980789	10.3703715040407	106.218788731823
22	7943.3	62118.9344232315	10317.7268852236	62969.9730185412	9.43052444153501	108.158821726925
23	6309.6	63440.4176280985	9614.90889761529	64164.8896355085	8.6180534814071	110.233859721686
24	5011.9	64643.6016378772	8992.57949921006	65266.083985223	7.91959832686214	113.083912714491
25	3981.1	65765.2706873048	8446.53560189619	66305.4657795914	7.31869377238239	115.193950709163
26	3162.3	66812.7652368192	7973.15771493828	67286.8251780213	6.80525731170229	117.413995703558
27	2511.9	67781.5477654717	7568.3788173174	68202.7754230379	6.37116452230276	119.594032698054
28	1995.3	68747.5433553763	7231.6839302325	69126.8541875451	6.00496725430521	121.624073692929
29	1584.9	69649.1343009773	6952.22754919416	69995.2525302349	5.70026043338916	123.599107687942
30	1258.9	70573.7217910224	6714.23364375814	70892.3912762125	5.43464117188502	125.579143682943
31	1000	71433.0634106717	6525.21366779264	71730.4744278427	5.21932662724038	127.684182677628
32	794.33	72316.5332687171	6371.24523545856	72596.6510925664	5.03488381363974	129.729220672465
33	630.96	73154.4993248264	6240.5925566212	73420.1999923985	4.87592740405778	131.614255667706
34	501.19	74031.2932227194	6140.63081107751	74285.5283550316	4.74162542603771	133.829296662114
35	398.11	74924.7798914409	6066.87345225612	75170.0046246278	4.62930306163425	135.739332657291
36	316.23	75763.1009760825	6002.04387136742	76000.4736836941	4.52958040741488	140.164414646119
37	251.19	76610.3168586719	5940.3088089665	76840.2753634576	4.43380185043925	142.409457640451
38	199.53	77468.0785852844	5899.15041660434	77692.3624002612	4.35463708447442	144.884502634202
39	158.49	78329.2616016219	5855.27676787744	78547.8038463441	4.27502887212929	147.029542628786
40	125.89	79163.047980726	5798.42722565851	79375.1215677179	4.18924212767983	149.164579623396
41	100	79969.2513965664	5757.63190550019	80176.2526817416	4.11807979719616	151.169617618333
42	79.433	80845.5979592663	5710.24825146905	81047.0088558777	4.04017890012381	153.304658612943
43	63.096	81734.1813579537	5613.53808641887	81926.724651377	3.92892849472856	155.549701607275
44	50.119	82523.9125899427	5483.29867671583	82705.880767516	3.80142841807474	157.669739601922
45	39.811	83333.2022478892	5522.55370790631	83515.9936559717	3.79149018934767	167.529920577028
46	31.623	84161.5800659481	5444.96287924873	84337.5312654656	3.70167970425241	169.839964571195
47	25.119	84969.966348758	5392.66802508385	85140.9187743346	3.63143932165648	172.315011564946
48	19.953	85777.9949156467	5341.74222458274	85944.1599048045	3.56343797395802	175.005061558155
49	15.849	86508.7023124487	5273.06769355109	86669.261094604	3.48810206735094	177.435105552019
50	12.589	87292.3470733795	5201.8966774649	87447.2045672265	3.41031808986975	180.285157544824
51	10	88058.71871881	5109.93045410919	88206.8553551499	3.32107359121515	183.375216537022
52	7.9433	88744.7582216476	5041.0475591012	88887.8184697532	3.25112942213393	186.460270529233
53	6.3096	89472.0160770378	4994.87558301739	89611.3298806548	3.1952844386449	189.595328521318
54	5.0119	90115.8517886315	4926.70541849861	90250.4247628301	3.12929069017835	192.880392513024
55	3.9811	90764.7001448088	4876.44790887957	90895.6024050947	3.07533124767364	196.040448505045
56	3.1623	91460.8259620253	4881.92828481251	91591.0252668565	3.05539218142282	198.995505497585
57	2.5119	91970.0488845156	4876.93971281026	92099.2640186803	3.03540769732965	202.240563489392
58	1.9953	92585.1422004772	4983.24388337077	92719.1526917915	3.0808788814179	205.570626480984
59	1.5849	93105.2460398012	5205.71123108541	93250.6636413563	3.20019621313112	208.975689472387
60	1.2589	93652.2692595392	5378.11183114876	93806.5649319363	3.28668008057107	212.595757463247
61	1	94192.2164964413	5721.25742709139	94365.8117914508	3.47588872679652	218.930873447253
62	0.79433	94771.212845905	6220.5460144632	94975.1439956891	3.75536517342709	222.835946437393
63	0.63096	95389.07659522	6789.99664038525	95630.434423698	4.07156755202174	227.121025426575
64	0.50119	95889.5683269735	7543.03405059941	96185.7924884014	4.49783922100892	231.591106415289
65	0.39811	96616.0672912456	8591.21775449089	96997.2859482758	5.08144528634643	236.706203402374
66	0.31623	97344.390001119	9789.52990908553	97835.3983000572	5.74269615746785	241.886299389296
67	0.25119	98333.8014359406	11459.0062476312	98999.2188303839	6.64679643792226	247.751408374488
68	0.19953	99289.1885390924	13035.9261970101	100141.291845898	7.47972435965181	254.426529357635
69	0.15849	100545.856658703	15086.2040680647	101671.347214521	8.5331762683071	262.416679337462
70	0.12589	101954.45713973	17545.356513951	103453.133668626	9.7643972755529	271.491847314549
71	0.1	103935.835785918	20622.8521810663	105962.068650057	11.2228094683291	282.642052286397
