Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	4335.96346561902	8647.55989831355	9673.72065805621	63.3704061674129	96.4616167564578
2	794330	6533.11026135933	8937.64655289038	11070.8200053777	53.8344888520978	127.162182678946
3	630960	8936.96029818862	9524.62778849098	13060.9262259877	46.8232180862089	132.257276666082
4	501190	11047.6868753247	10259.2018087481	15076.5581963472	42.8806731662026	135.357332658256
5	398110	14207.9828054871	11917.5963371316	18544.4298336678	39.989782973647	144.532503635091
6	316230	16430.5729185731	12498.783042471	20644.2075162819	37.2603503362295	146.757544629473
7	251190	18492.5298690358	12180.7832860447	22143.7382214198	33.3723644224465	153.467671612531
8	199530	20683.3928750535	12292.7451918203	24060.638503058	30.7242539193505	155.617709607103
9	158490	22793.8095003753	12270.1288901129	25886.5566369763	28.2940113386273	158.077755600892
10	125890	24882.1855802105	12141.2535236574	27686.3359145582	26.0100454807125	160.772803594088
11	100000	26843.2383176094	11917.559434339	29369.8428025581	23.9397262323967	163.507856587182
12	79433	28751.5101469923	11612.8269073708	31008.1777038438	21.9939399688147	166.472908579696
13	63096	30672.6378571133	11273.4142742245	32678.7481784708	20.1803875910719	169.512966572021
14	50119	32445.3982233445	10815.6520933046	34200.6168961147	18.4357742370813	173.928048560874
15	39811	34170.0895393984	10218.9030289587	35665.4033798268	16.6498143427834	193.008401512701
16	31623	35693.9569093817	9545.53884273662	36948.2864507543	14.9720976774124	203.518594486165
17	25119	37109.1947207436	9015.00574008589	38188.5147827962	13.6544616779141	206.368648478969
18	19953	38429.3635983855	8388.75718767572	39334.3009818491	12.3139486256011	209.613709470776
19	15849	39612.9695709208	7717.61693826859	40357.7621955498	11.0245772926164	212.478760463543
20	12589	40691.1474761979	7093.8451542093	41304.8680182081	9.88920891786151	215.763823455249
21	10000	41743.5145243727	6398.95189440689	42231.1211098337	8.71514991901295	220.728915442713
22	7943.3	42571.79014679	5806.71619608393	42965.9780440779	7.76711106536032	223.118958436679
23	6309.6	43308.933054944	5251.06256767112	43626.1084724184	6.91317619272268	225.599004430417
24	5011.9	43973.6536123746	4737.7604253843	44228.1424646055	6.14937709903372	228.839064422237
25	3981.1	44524.2608487385	4270.72335275783	44728.6136838858	5.47899282140017	232.089125414031
26	3162.3	45033.0973492563	3853.85164493198	45197.6993813705	4.89135238915717	234.489169407972
27	2511.9	45499.0604526513	3481.51672827948	45632.0661465521	4.37565653197618	237.584227400157
28	1995.3	45889.296463655	3150.80881555392	45997.3382503966	3.92782566673619	240.439278392949
29	1584.9	46224.6857306636	2856.69746831951	46312.8739264162	3.53639633508409	243.794342384478
30	1258.9	46560.2570409133	2606.40327788085	46633.1520890757	3.20402463621529	247.264403375717
31	1000	46843.5284702573	2378.87040646021	46903.8930575548	2.90717309797733	250.369464367878
32	794.33	47134.7339240852	2186.41021034179	47185.4165150865	2.65584068345087	253.824525359155
