Time (s)	WE(1).Potential (V)	Corrected time (s)	Index	dWE(1).Potential/dt (V/s)	Cutoffs	OCP value (V)
1.40574099645085	-0.020245361328125	0	1	0	dWE(1).Potential/dt < 1E-06 V/s	-0.0181938620174632
1.50574099619837	-0.020208740234375	0.0999999997475243	2	0.000366214575478807		
1.60574099594589	-0.020135498046875	0.199999999495049	3	0.000915545737370849		
1.70574099569342	-0.0201629638671875	0.299999999242573	4	-0.00123601371888071	dWE(1).Potential/dt < 1E-06 V/s	
1.80574099544094	-0.0201751708984375	0.399999998990097	5	0.000340845348546281		
1.90574099518847	-0.0201629638671875	0.499999998737621	6	0.000274622114375234		
2.00574099493599	-0.0202178955078125	0.599999998485146	7	-0.00119014922529459	dWE(1).Potential/dt < 1E-06 V/s	
2.10574099468352	-0.020220947265625	0.69999999823267	8	0.000625612679868937		
2.20574099443104	-0.0202728271484375	0.799999997980194	9	-0.00109863129910082	dWE(1).Potential/dt < 1E-06 V/s	
2.30574099417856	-0.0202911376953125	0.899999997727718	10	0.000259354652371258		
2.40574099392609	-0.0203094482421875	0.999999997475243	11	-0.000294980825856328	dWE(1).Potential/dt < 1E-06 V/s	
2.50574099367361	-0.0203338623046875	1.09999999722277	12	-0.00029499945230782	dWE(1).Potential/dt < 1E-06 V/s	
2.60574099342114	-0.02030029296875	1.19999999697029	13	0.000839195970911533		
2.70574099316866	-0.020318603515625	1.29999999671782	14	-0.00080866098869592	dWE(1).Potential/dt < 1E-06 V/s	
2.80574099291618	-0.0202880859375	1.39999999646534	15	0.000884973560459912		
2.90574099266371	-0.0202667236328125	1.49999999621286	16	-2.54251008300344E-05	dWE(1).Potential/dt < 1E-06 V/s	
3.00574099241123	-0.020294189453125	1.59999999596039	17	-0.000651037786155939	dWE(1).Potential/dt < 1E-06 V/s	
3.10574099215876	-0.020318603515625	1.69999999570791	18	-5.59352192794904E-05	dWE(1).Potential/dt < 1E-06 V/s	
3.20574099190628	-0.0203582763671875	1.79999999545544	19	-0.000534069899003953	dWE(1).Potential/dt < 1E-06 V/s	
3.30574099165381	-0.0203765869140625	1.89999999520296	20	4.57713904324919E-05		
3.40574099140133	-0.0203643798828125	1.99999999495049	21	0.000305219175061211		
3.50574099114885	-0.020281982421875	2.09999999469801	22	0.00130714196711779		
3.60574099089638	-0.0202972412109375	2.19999999444553	23	-0.00120033172424883	dWE(1).Potential/dt < 1E-06 V/s	
3.7057409906439	-0.0203948974609375	2.29999999419306	24	-0.00133768317755312	dWE(1).Potential/dt < 1E-06 V/s	
3.80574099039143	-0.02049560546875	2.39999999394058	25	-0.000757860485464334	dWE(1).Potential/dt < 1E-06 V/s	
3.90574099013895	-0.020538330078125	2.49999999368811	26	6.61238882457837E-05		
4.00574098988648	-0.020574951171875	2.59999999343563	27	-0.000508632394485176	dWE(1).Potential/dt < 1E-06 V/s	
4.105740989634	-0.0206085205078125	2.69999999318316	28	-0.000330569775542244	dWE(1).Potential/dt < 1E-06 V/s	
4.20574098938152	-0.0206787109375	2.79999999293068	29	-0.00101727724540979	dWE(1).Potential/dt < 1E-06 V/s	
4.30574098912905	-0.0207183837890625	2.8999999926782	30	-2.03587060241261E-05	dWE(1).Potential/dt < 1E-06 V/s	
4.40574098887657	-0.020733642578125	2.99999999242573	31	-5.0868828111561E-05	dWE(1).Potential/dt < 1E-06 V/s	
4.5057409886241	-0.0208251953125	3.09999999217325	32	-0.00163270742632449	dWE(1).Potential/dt < 1E-06 V/s	
4.60574098837162	-0.0208740234375	3.19999999192078	33	0.000122077733976766		
4.70574098811915	-0.020916748046875	3.2999999916683	34	-0.000518821063451469	dWE(1).Potential/dt < 1E-06 V/s	
4.80574098786667	-0.020989990234375	3.39999999141583	35	-0.00100705749355257	dWE(1).Potential/dt < 1E-06 V/s	
4.90574098761419	-0.021038818359375	3.49999999116335	36	-0.000183160067535937	dWE(1).Potential/dt < 1E-06 V/s	
5.00574098736172	-0.0210723876953125	3.59999999091087	37	-0.00028988960548304	dWE(1).Potential/dt < 1E-06 V/s	
5.10574098710924	-0.021148681640625	3.6999999906584	38	-0.00116984639316797	dWE(1).Potential/dt < 1E-06 V/s	
5.20574098685677	-0.0211669921875	3.79999999040592	39	0.000442527118138969		
5.30574098660429	-0.021142578125	3.89999999015345	40	0.000406900944653898		
5.40574098635182	-0.02120361328125	3.99999998990097	41	-0.00146485830191523	dWE(1).Potential/dt < 1E-06 V/s	
5.50574098609934	-0.0211700439453125	4.0999999896485	42	0.00140886718872935		
5.60574098584686	-0.0211822509765625	4.19999998939602	43	-0.000818824802991003	dWE(1).Potential/dt < 1E-06 V/s	
5.70574098559439	-0.02120361328125	4.29999998914354	44	-0.000137345210532658	dWE(1).Potential/dt < 1E-06 V/s	
5.80574098534191	-0.021221923828125	4.39999998889107	45	-0.000127200008137152	dWE(1).Potential/dt < 1E-06 V/s	
5.90574098508944	-0.0213226318359375	4.49999998863859	46	-0.00170388526748866	dWE(1).Potential/dt < 1E-06 V/s	
6.00574098483696	-0.0213653564453125	4.59999998838612	47	0.000330650480464101		
6.10574098458449	-0.0214111328125	4.69999998813364	48	-0.000676475290674716	dWE(1).Potential/dt < 1E-06 V/s	
6.20574098433201	-0.0214202880859375	4.79999998788116	49	0.000223771930905059		
6.30574098407953	-0.02144775390625	4.89999998762869	50	-0.000549293938092887	dWE(1).Potential/dt < 1E-06 V/s	
6.40574098382706	-0.0214935302734375	4.99999998737621	51	-0.000549343589227647	dWE(1).Potential/dt < 1E-06 V/s	
