Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	-3936.35816581544	14532.7860535806	15056.4533037741	105.155519927596	69.9990578232694
2	794330	170.984221501498	23131.6346794717	23132.2666107007	89.5764892550181	71.3340818198988
3	630960	8316.42316016795	33362.8814302118	34383.7861717605	76.0030355554933	72.6191048166544
4	501190	16894.6874757815	42598.9358220342	45826.8458228811	68.3667817157203	74.0091288131449
5	398110	24847.5878717613	67800.5271658273	72210.2077756946	69.8730870957254	75.3091568098627
6	316230	36220.6671171208	75683.8570109723	83904.606181464	64.4252253497551	76.5941778066183
7	251190	43773.7306460148	83111.9753744068	93934.7643064369	62.2249505032631	78.7742208011142
8	199530	53550.3875393301	92826.4622412981	107165.274682836	60.0199077154011	79.9492397981476
9	158490	63277.672326837	103787.786693512	121556.441548116	58.6300386835113	81.2342637949032
10	125890	73208.2599967141	117559.626573937	138490.848549462	58.0881153085683	82.4142847919239
11	100000	83875.3601542218	133907.692273337	158007.424164092	57.9383287919146	83.7093097886543
12	79433	94980.4763382972	153921.011859043	180867.268396362	58.3223914638861	84.8943337856624
13	63096	107358.453952686	178621.112131869	208401.869795683	58.9924442689171	86.179355782418
14	50119	121549.880596576	209874.808783977	242532.077950841	59.9225415958207	87.469380779161
15	39811	140844.504819331	248157.458698241	285340.671558352	60.4224442887088	88.759404775904
16	31623	165506.032262164	285356.572660384	329879.705765064	59.8863840218859	89.9444247729122
17	25119	184842.961581643	332782.353920484	380671.795024442	60.9501487770834	91.1344487699076
18	19953	208573.92294314	393119.78987049	445023.876347898	62.0513341315231	92.3244707669031
19	15849	239977.420446567	469050.054156429	526874.857654394	62.9046098616598	93.5144937638986
20	12589	275235.252477864	554727.380401674	619255.125755014	63.611089494309	94.7095127608815
21	10000	314608.693224909	658861.644859748	730121.426147718	64.4753647565555	95.9445367577633
22	7943.3	367769.982899391	784597.128686677	866514.52074688	64.8857591030532	97.1345597547588
23	6309.6	435045.447676638	932415.066233875	1028913.21173561	64.9872233314433	98.3295817517417
24	5011.9	516658.348351696	1112433.19617042	1226557.56687708	65.0879646326544	99.5246047487245
25	3981.1	620945.512147672	1317954.69570669	1456906.9664847	64.7728454591227	100.709625745733
26	3162.3	750410.123291104	1562014.04541863	1732917.5488819	64.3398167573696	101.904646742715
27	2511.9	915504.422074231	1850198.55534437	2064311.75965159	63.6731434896919	103.089669739724
28	1995.3	1118675.85468491	2174713.79116897	2445570.63716334	62.7786460617014	104.274690736732
29	1584.9	1380842.1122659	2555577.63624568	2904772.27917887	61.6165450550759	105.429714733816
30	1258.9	1756849.98205995	2954719.96029752	3437570.63974613	59.2646632241797	106.584734730899
31	1000	2103477.01385494	3437978.79138388	4030423.51593743	58.5402307373051	107.779756727882
32	794.33	2610598.38171797	3930022.01874408	4718081.91730938	56.4050777219699	109.059777724651
33	630.96	3197324.89158644	4421399.52906153	5456341.28862407	54.1275137139171	110.244801721659
34	501.19	3879729.65092273	4959811.70528329	6296986.1295793	51.9663003769997	111.444824718629
35	398.11	4734398.49581512	5474900.76426938	7238029.25496809	49.1485203735476	112.654844715574
36	316.23	5596770.6852909	6025222.61762012	8223572.80600182	47.1112880381244	113.844869712569
37	251.19	6555133.50559963	6365811.66243504	9137468.6537262	44.1605438868446	115.069891709476
38	199.53	7794158.21205356	6701490.23275323	10279050.2272442	40.6892517001234	116.254913706485
39	158.49	8898503.9407144	6984716.57301485	11312366.5953795	38.1294873441677	117.484936703379
40	125.89	10114465.9847026	6615702.85594756	12085940.0310401	33.188027179167	118.744959700198
41	100	11201377.0527596	6531026.90089583	12966308.6596886	30.2445677513776	120.004980697017
42	79.433	12518963.3132783	6885624.81183644	14287626.5169756	28.8114788918928	121.290005693772
43	63.096	6604393.13014956	3953205.55041858	7697132.11147028	30.9035628235985	122.625031690402
44	50.119	14851456.1937393	7039103.92441661	16435167.6332581	25.3594198035275	123.870053687258
45	39.811	15721423.0774675	7233889.91037506	17305846.0300603	24.7085520043524	132.930220664383
46	31.623	15619509.312162	8107314.15948664	17598227.5821552	27.4315921011603	134.435247660584
47	25.119	17164080.9691853	4538417.22040642	17753954.6688401	14.8108313100766	135.875277656948
48	19.953	18805677.6422912	6726499.91967407	19972463.8629075	19.6813439592373	137.635309652504
49	15.849	17554841.281765	4928364.26994073	18233519.3203394	15.6816102097104	139.450343647922
50	12.589	20910769.6518922	7384693.06540397	22176428.4569162	19.4508069285918	141.290376643276
51	10	21494585.4268206	6718345.85155688	22520066.0223726	17.3571521833194	143.45541663781
52	7.9433	23273692.8188	10054855.3821869	25352808.4081539	23.3656309199399	145.655457632255
53	6.3096	23730107.583474	7031667.04296334	24749996.9156836	16.5055245746594	147.945498626474
54	5.0119	24308254.6955183	6852592.12849836	25255677.8808597	15.7433519790198	150.230541620704
55	3.9811	25177615.2118034	7297605.90003384	26213877.2337448	16.1639668094957	152.510584614948
56	3.1623	26169469.2792403	7431877.14162791	27204299.6639383	15.8540356073073	154.930627608838
57	2.5119	27118446.1521585	7999589.98895026	28273725.6423492	16.435375784108	157.315673602816
58	1.9953	28509312.3242879	8350866.84329595	29707202.2620484	16.3262133602426	159.875719596353
59	1.5849	29473986.0783204	8595181.36065098	30701677.4454998	16.2577002624174	162.475769589788
60	1.2589	31152656.2985432	8616345.77632914	32322274.1927672	15.4606259339877	165.275819582719
61	1	32153996.9231562	9236317.18950059	33454283.3335195	16.0268463332427	170.220912570234
62	0.79433	33542290.3596019	9591581.07348189	34886726.2731403	15.9581388931681	173.260969562558
63	0.63096	35023468.04809	9953512.9513735	36410379.4842726	15.8649126202956	176.6110295541
64	0.50119	36404290.8711405	10434106.6574418	37870080.2160422	15.9932288923321	180.281097544834
65	0.39811	37972041.9978569	10892927.5710013	39503567.4914822	16.0064408845199	184.401173534432
66	0.31623	39599200.0359764	11230364.2046035	41160876.1283979	15.8333780407127	189.11126152254
67	0.25119	41272019.3777295	11778070.7723895	42919721.9776072	15.9275093968505	194.46636150902
68	0.19953	43105329.5975558	12161572.8180006	44788093.2070283	15.7556791434179	200.626473493467
69	0.15849	45018790.7805473	12698489.7064549	46775454.718983	15.7522135262666	207.836607475263
70	0.12589	46852034.9179258	13049279.2602427	48635345.8419115	15.563640651973	216.301764453891
71	0.1	48929088.9539654	13605020.5687174	50785355.4732098	15.5389022635968	226.346950428529
