Time (s)	WE(1).Potential (V)	Corrected time (s)	Index	dWE(1).Potential/dt (V/s)	Cutoffs	OCP value (V)
1.44874199634228	-0.00457763671875	0	1	0	dWE(1).Potential/dt < 1E-06 V/s	-0.00471032834520527
1.5487419960898	-0.004559326171875	0.0999999997475243	2	0.000183107287739404		
1.64874199583733	-0.00455322265624999	0.199999999495049	3	0	dWE(1).Potential/dt < 1E-06 V/s	
1.74874199558485	-0.00454101562500001	0.299999999242573	4	0.000213614301173948		
1.84874199533238	-0.00452575683593751	0.399999998990097	5	0.000157682181452401		
1.9487419950799	-0.00450744628906249	0.499999998737621	6	0.000198370107682422		
2.04874199482742	-0.00449218749999999	0.599999998485146	7	0.000116975643322803		
2.14874199457495	-0.0044891357421875	0.69999999823267	8	-6.10435236012563E-05	dWE(1).Potential/dt < 1E-06 V/s	
2.24874199432247	-0.0044891357421875	0.799999997980194	9	1.52597167470958E-05		
2.34874199407	-0.004473876953125	0.899999997727718	10	0.000289912888547406		
2.44874199381752	-0.00447692871093749	0.999999997475243	11	-0.000233963699429296	dWE(1).Potential/dt < 1E-06 V/s	
2.54874199356505	-0.00446472167968751	1.09999999722277	12	0.000310251401970163		
2.64874199331257	-0.0044586181640625	1.19999999697029	13	-4.06832659791689E-05	dWE(1).Potential/dt < 1E-06 V/s	
2.74874199306009	-0.00445556640625	1.29999999671782	14	2.54297574429074E-05		
2.84874199280762	-0.00446166992187499	1.39999999646534	15	-0.00012715499906335	dWE(1).Potential/dt < 1E-06 V/s	
2.94874199255514	-0.0044525146484375	1.49999999621286	16	0.0002492249768693		
3.04874199230267	-0.00445556640625	1.59999999596039	17	-0.00018310418818146	dWE(1).Potential/dt < 1E-06 V/s	
3.14874199205019	-0.00444946289062501	1.69999999570791	18	0.00017801760986913		
3.24874199179771	-0.00445556640625	1.79999999545544	19	-0.000193271116586402	dWE(1).Potential/dt < 1E-06 V/s	
3.34874199154524	-0.00444946289062501	1.89999999520296	20	0.000203444258659147		
3.44874199129276	-0.0044525146484375	1.99999999495049	21	-0.00014748887042515	dWE(1).Potential/dt < 1E-06 V/s	
3.54874199104029	-0.0044525146484375	2.09999999469801	22	5.59476393391378E-05		
3.64874199078781	-0.00445556640625	2.19999999444553	23	-6.61223311908543E-05	dWE(1).Potential/dt < 1E-06 V/s	
3.74874199053534	-0.00444946289062501	2.29999999419306	24	0.00014749972615391		
3.84874199028286	-0.0044525146484375	2.39999999394058	25	-0.000137317270855419	dWE(1).Potential/dt < 1E-06 V/s	
3.94874199003038	-0.00444946289062501	2.49999999368811	26	0.000111889065010473		
4.04874198977791	-0.00444641113281249	2.59999999343563	27	1.01840096249362E-05		
4.14874198952543	-0.00444641113281249	2.69999999318316	28	-2.54406222666148E-05	dWE(1).Potential/dt < 1E-06 V/s	
4.24874198927296	-0.00444641113281249	2.79999999293068	29	1.01715922937728E-05		
4.34874198902048	-0.004443359375	2.8999999926782	30	5.59398758923635E-05		
4.44874198876801	-0.004443359375	2.99999999242573	31	-3.56029013346415E-05	dWE(1).Potential/dt < 1E-06 V/s	
4.54874198851553	-0.00444946289062501	3.09999999217325	32	-0.000101726785942446	dWE(1).Potential/dt < 1E-06 V/s	
4.64874198826305	-0.004443359375	3.19999999192078	33	0.000183107287739404		
4.74874198801058	-0.004437255859375	3.2999999916683	34	2.034939279838E-05		
4.8487419877581	-0.00443115234374999	3.39999999141583	35	6.10342103755102E-05		
4.94874198750563	-0.00443115234374999	3.49999999116335	36	-5.08657212776598E-05	dWE(1).Potential/dt < 1E-06 V/s	
5.04874198725315	-0.0044281005859375	3.59999999091087	37	7.62846175348386E-05		
5.14874198700068	-0.0044281005859375	3.6999999906584	38	-3.56029013346415E-05	dWE(1).Potential/dt < 1E-06 V/s	
5.2487419867482	-0.0044281005859375	3.79999999040592	39	1.01684881883557E-05		
5.34874198649572	-0.004425048828125	3.89999999015345	40	5.59507425350603E-05		
5.44874198624325	-0.004425048828125	3.99999998990097	41	-3.56044547515921E-05	dWE(1).Potential/dt < 1E-06 V/s	
5.54874198599077	-0.004425048828125	4.0999999896485	42	1.01731448012288E-05		
5.6487419857383	-0.00441894531250001	4.19999998939602	43	0.000111895278678276		
5.74874198548582	-0.004425048828125	4.29999998914354	44	-0.000183097974513657	dWE(1).Potential/dt < 1E-06 V/s	
5.84874198523335	-0.0044281005859375	4.39999998889107	45	3.5595141525846E-05		
5.94874198498087	-0.0044281005859375	4.49999998863859	46	1.52566126416787E-05		
6.04874198472839	-0.0044219970703125	4.59999998838612	47	0.00010173144255532		
6.14874198447592	-0.0044281005859375	4.69999998813364	48	-0.000183113501407206	dWE(1).Potential/dt < 1E-06 V/s	
6.24874198422344	-0.00443420410156251	4.79999998788116	49	-2.03431845875457E-05	dWE(1).Potential/dt < 1E-06 V/s	
6.34874198397097	-0.0044403076171875	4.89999998762869	50	-6.10295537626371E-05	dWE(1).Potential/dt < 1E-06 V/s	
6.44874198371849	-0.0044403076171875	4.99999998737621	51	5.08595148858149E-05		
6.54874198346602	-0.0044525146484375	5.09999998712374	52	-0.000244135284447111	dWE(1).Potential/dt < 1E-06 V/s	
6.64874198321354	-0.00446166992187499	5.19999998687126	53	-2.54313090408687E-05	dWE(1).Potential/dt < 1E-06 V/s	
6.74874198296106	-0.004473876953125	5.29999998661879	54	-0.00015768529556226	dWE(1).Potential/dt < 1E-06 V/s	
6.84874198270859	-0.0044830322265625	5.39999998636631	55	-5.59383261133917E-05	dWE(1).Potential/dt < 1E-06 V/s	
