Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	3411.13274902815	6099.99582696477	6988.97529831662	60.7859715411624	233.252918411093
2	794330	4702.83288359729	6372.45952570308	7919.90388437687	53.5729203152219	235.007951406662
3	630960	6125.53154366798	6838.16326765037	9180.55627767263	48.1464591675785	236.422975403089
4	501190	7517.54662192729	7419.11262974984	10562.0423889399	44.6224208790958	237.933004399277
5	398110	9378.35906798249	8576.05117035407	12708.3544365327	42.441392106017	239.31803139578
6	316230	10957.90819227	8998.79041983816	14179.3505129956	39.3933277979235	240.743060392182
7	251190	12432.9487842874	9068.13761092108	15388.610567667	36.1056419305868	243.073102386299
8	199530	14125.4173492121	9291.98897534692	16907.6454424438	33.3377383023867	244.468125382777
9	158490	15800.7053504691	9456.21241247771	18414.1859109286	30.899159904162	246.138157378561
10	125890	17468.9282762222	9462.81378494453	19867.2670452765	28.4441398192999	247.68318637466
11	100000	19094.8668865444	9354.57693832116	21263.1618323762	26.1002375659305	249.263216370671
12	79433	20689.7348472645	9143.37409718319	22620.044604977	23.841979709314	250.698242367048
13	63096	22227.5688710284	8829.80124169019	23917.1530054073	21.6652265708365	252.198267363261
14	50119	23690.2099388344	8409.15904151345	25138.4168700322	19.5430033619966	253.563294359814
15	39811	25061.6470957182	7890.57830536427	26274.4625281547	17.4764393494115	254.968319356267
16	31623	26275.6308520489	7269.24719678503	27262.6251758908	15.4642956204537	256.268343352985
17	25119	27293.8492273592	6672.78997447583	28097.6926399532	13.738170236599	257.563369349715
18	19953	28228.1014499472	6099.35093830111	28879.539354655	12.1926687981689	258.878393346395
19	15849	29047.6333407764	5517.07837948013	29566.9267348757	10.7542129293263	260.263419342898
20	12589	29714.3555264225	4981.36783449495	30129.0051255128	9.51667419654287	262.433460337419
21	10000	30288.2833114388	4460.14194870257	30614.9142111579	8.37696348469705	263.853484333834
22	7943.3	30814.6903009671	4037.12187181713	31078.0226422535	7.46397500315206	265.258511330287
23	6309.6	31261.556985875	3667.89114765494	31475.9967380249	6.69186860223054	266.668536326727
24	5011.9	31676.7141131276	3354.51701559319	31853.8380954748	6.04500796722769	268.098562323116
25	3981.1	32039.8569988247	3094.24718543925	32188.9235941455	5.51622932861246	269.413586319796
26	3162.3	32406.547379371	2881.05442356646	32534.3631817648	5.08043658941123	270.693610316564
27	2511.9	32715.8744448041	2703.97688699196	32827.4265164599	4.72477455429743	271.968633313345
28	1995.3	33035.0488332357	2562.70269052438	33134.3009054708	4.43585135155424	273.343658309874
29	1584.9	33347.9699953071	2453.56922190119	33438.1085699321	4.20794185253787	274.638682306604
30	1258.9	33635.8627496886	2365.42373009421	33718.9337366825	4.02267180109742	275.938707303322
31	1000	33943.2017558105	2300.81040325803	34021.0916042886	3.87781271761186	277.368733299711
32	794.33	34240.8375903358	2251.22124812669	34314.762945353	3.76159328758783	278.808761296076
33	630.96	34559.5794195573	2217.15026572675	34630.62640146	3.6707478243615	280.208786292541
34	501.19	34850.1153326453	2194.07698200905	34919.1138561914	3.60244583854261	281.513810289246
35	398.11	35145.2617130026	2177.44447293879	35212.649507076	3.54526075438823	282.803834285989
36	316.23	35452.1281625476	2168.37649023835	35518.3790150553	3.50005062529411	284.118861282669
37	251.19	35758.8768646833	2166.89503812813	35824.47080879	3.46773497533292	285.668887278755
38	199.53	36057.7691191899	2162.80753236896	36122.5753549616	3.43258757673237	287.003913275385
39	158.49	36363.1249114746	2166.03635308627	36427.5797550481	3.40890036693151	288.458940271711
40	125.89	36675.5349392828	2165.39145545634	36739.403686477	3.37892625367788	289.948968267949
41	100	36988.3134757686	2167.52168711392	37051.7676237698	3.35370742869298	291.348992264415
42	79.433	37295.5759385377	2169.71673727608	37358.6356189201	3.32950075274177	292.834019260665
43	63.096	37624.8501697089	2164.22782795606	37687.0432958642	3.2920963199826	294.424051256651
44	50.119	37939.7470903083	2164.72452657974	38001.453150538	3.26557920402482	295.77907425323
