Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	2826.80290027314	9471.0288026828	9883.88593713221	73.3812976355829	74.2641438125011
2	794330	5233.00307189502	10646.3779942067	11862.95433465	63.8245469667041	75.6491668090042
3	630960	7955.32552301527	12392.9801721829	14726.6140618018	57.3027054587588	76.9991908055957
4	501190	10506.5760709483	13939.1618680672	17455.3250992011	52.9930159307141	78.5442198016949
5	398110	14382.355719684	17586.9589193508	22719.0070222811	50.7242060559256	80.0042477980087
6	316230	17854.1170209127	19109.7028674335	26152.4423004437	46.9454731841844	81.3892737945118
7	251190	21199.7555590917	19842.7291732208	29037.2783987588	43.1062654890917	87.7893947783531
8	199530	25118.362934861	20726.1528987068	32565.404503982	39.5273860472834	89.8844297730636
9	158490	29110.3479849095	21139.5508010314	35976.2834082665	35.9866581909962	91.8594657680771
10	125890	33119.8954770231	21099.8624021854	39269.9843366418	32.5001992871729	93.9795047627246
11	100000	36972.042851407	20619.0718769299	42332.943172809	29.1481285597883	95.5895357586596
12	79433	40625.3729728803	19809.3568535425	45197.6940577352	25.9943470293019	97.3195687542917
13	63096	43958.7781271674	18696.0310131808	47769.401818312	23.0404497509419	98.9095977502773
14	50119	47044.7100140247	17381.7535572734	50153.0666762209	20.2779138598402	100.569626746086
15	39811	49722.6079867937	15857.5270006616	52190.0268977233	17.6885150048618	102.209659741945
16	31623	51853.173805374	14192.7926019558	53760.459405891	15.3075757145973	103.844689737817
17	25119	53617.4907997215	12927.458405282	55153.9164563906	13.5555953570109	105.674721733197
18	19953	55259.790275073	11694.3488772047	56483.6455702607	11.9489188136422	107.389752728867
19	15849	56678.059108886	10555.4366835248	57652.5769409337	10.5496200428243	109.859800722631
20	12589	57883.9043952264	9569.81382173261	58669.6490923402	9.38766333972913	111.354828718856
21	10000	58857.045766824	8612.84568249376	59483.8881307239	8.3252876636302	112.894855714968
22	7943.3	59838.6591534607	7894.03044606305	60357.1109809558	7.51517290171279	114.334883711332
23	6309.6	60708.3195115259	7288.28288125576	61144.2485052415	6.84582929715477	115.739907707785
24	5011.9	61559.9824762696	6798.32135159906	61934.2281430731	6.30187215570381	117.179934704149
25	3981.1	62325.2101667014	6393.06333119692	62652.2392343658	5.85668140488905	118.724966700248
26	3162.3	63066.1318992073	6075.68833398429	63358.116934296	5.5027999439309	120.219990696474
27	2511.9	63762.9178775947	5821.80969331902	64028.1435336846	5.21686948099205	121.845021692371
28	1995.3	64486.7366067872	5636.61774737617	64732.6089218037	4.99537907207962	123.355050688558
29	1584.9	65190.2156739228	5501.92083948495	65421.9791242709	4.82421393837707	124.89507768467
30	1258.9	65896.6272830739	5412.10591552386	66118.5025369238	4.69517821828428	126.340105681022
31	1000	66594.9352344246	5347.43938392484	66809.284585617	4.59088580000245	127.94513467697
32	794.33	67328.9171976845	5315.77605595298	67538.4376935809	4.51427196137858	129.605167672778
