Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	3601.29918224381	6121.95518569396	7102.65380654831	59.5334185666349	61.2659178453184
2	794330	4950.03337987232	6288.17772981632	8002.75012877499	51.7902920363272	62.7909418414681
3	630960	6362.40618667429	6717.37837444715	9252.20972037068	46.5545682014754	64.1509698380344
4	501190	7822.42058860762	7231.23375968336	10652.7463854283	42.751036938499	65.6459948342598
5	398110	9684.28438770531	8127.47510023074	12642.8325784542	40.0048451400366	67.2210288302832
6	316230	11273.6498727044	8395.06033494325	14056.0385414834	36.6736603437644	68.7060538265339
7	251190	12690.9289058162	8227.44438502325	15124.5005736101	32.9550717354581	70.2110808227341
8	199530	14259.5747039614	8250.61774244323	16474.4700633973	30.0537579064008	71.766107818808
9	158490	15767.1325489216	8108.91284075228	17730.1138257537	27.2164041528714	73.1461368153238
10	125890	17195.5465457417	7853.56516004399	18904.1081971572	24.5471698789663	75.6711838089486
11	100000	18579.447308274	7551.32856662712	20055.3839505029	22.1185218385205	77.1812108051362
12	79433	19788.8262191639	7121.97736769523	21031.4099564967	19.7937496609615	78.7312398012227
13	63096	20893.6100724424	6645.60697092764	21925.0321293107	17.6442475729017	80.2712677973345
14	50119	21891.9363041015	6149.1748183588	22739.1562308186	15.6893974125718	81.6512937938503
15	39811	22780.3481051264	5636.92917439158	23467.407831029	13.8984902294069	83.0263167903787
16	31623	23530.1447540419	5106.614953298	24077.8991697243	12.244697397533	84.3513427870333
17	25119	24153.7917885025	4664.79816087376	24600.121943682	10.9309005310544	85.8063667833597
18	19953	24739.5536360762	4249.72049852046	25101.9050756677	9.74704790015589	87.126391780027
19	15849	25262.124877963	3869.43486988646	25556.7501760707	8.70839141082651	88.6564207761641
20	12589	25711.1405646771	3538.68973906596	25953.5175690302	7.83652979270809	90.171449772339
21	10000	26092.0883648345	3225.56465375164	26290.7082934992	7.04728269326791	91.6964767684887
22	7943.3	26474.3464252701	2986.13990088649	26642.2230707739	6.43540452487396	93.0815047649918
23	6309.6	26835.4782546761	2783.10810630133	26979.4103695494	5.9209790133971	94.4265267615959
24	5011.9	27161.1551652835	2615.36639154685	27286.7823547343	5.5000932449117	95.8515537579981
25	3981.1	27469.7684532595	2477.12589970519	27581.2315098271	5.15279238410199	97.2215797545391
26	3162.3	27751.5886247563	2366.2696848367	27852.2872206051	4.87359952628277	98.5566037511685
27	2511.9	28046.6740523361	2283.21995676978	28139.4566182251	4.65406419666559	99.9416307476716
28	1995.3	28334.649957774	2220.43454007698	28421.5185691467	4.4808056649222	101.301654744238
29	1584.9	28615.5036971342	2173.73224404035	28697.9470295261	4.34404193525004	102.716680740665
30	1258.9	28900.9083968101	2142.88674532062	28980.2427485361	4.24049332354742	104.036706737333
31	1000	29185.8735097155	2123.61344253123	29263.0303724412	4.16160380342753	105.461732733735
32	794.33	29479.3294620356	2115.52895251951	29555.1404713324	4.10468781650558	107.036762729758
33	630.96	29768.9905858887	2116.17957712938	29844.1119235501	4.0661284724514	108.571792725883
34	501.19	30083.8712534154	2125.05668722409	30158.8324627461	4.04053298062912	110.111817721994
35	398.11	30369.2589413479	2134.46995845832	30444.1759725928	4.02035957579812	111.541844718384
36	316.23	30672.8078194128	2151.77086173265	30748.1911235122	4.01286173583104	112.966872714786
37	251.19	30993.7480410141	2166.99462308933	31069.410733491	3.99944927448169	114.54189971081
38	199.53	31307.4903223307	2184.91477968651	31383.6390955116	3.99213563373918	116.041930707022
39	158.49	31616.4230716067	2203.73266798747	31693.132466116	3.98719026263598	117.576955703147
40	125.89	31945.3903230495	2220.06563236467	32022.4398555762	3.97541565364096	119.121984699246
41	100	32277.1236268964	2235.25778478029	32354.4291711409	3.96152673390272	120.682013695307
42	79.433	32616.2795956117	2248.72599718573	32693.706783868	3.94401029721231	122.082039691772
43	63.096	32929.6341766166	2254.24070289224	33006.7024731701	3.91614695978816	123.567067688023
44	50.119	33271.2951365672	2267.10904643704	33348.4461930837	3.89811395241715	125.132097684072
45	39.811	33603.2644677526	2265.3770628808	33679.5385379127	3.85678137621733	134.322268660869
46	31.623	33948.8038330546	2253.28044857999	34023.5000327006	3.79731720347156	135.99729965664
47	25.119	34299.8298126527	2244.10336415662	34373.1628612491	3.74330310268747	137.637346652499
48	19.953	34629.2429121254	2237.6352941202	34701.4621648207	3.69713736230814	139.562363647639
49	15.849	34978.9907671038	2209.38423057662	35048.6971764066	3.61418227502164	141.647401642375
50	12.589	35333.7869203564	2177.32172370842	35400.8082961629	3.52619440532826	144.047448636315
51	10	35629.0099041624	2128.39270608115	35692.5258599361	3.41865151022127	146.392491630394
