Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	3291.8876596966	5766.23648584524	6639.72948054027	60.2783793495878	42.5335578926131
2	794330	4485.73128838849	5996.4594300892	7488.61208024111	53.2011854689732	44.2635898882452
3	630960	5789.57709891065	6485.28444578094	8693.56758338709	48.2439057965585	46.0386218837637
4	501190	7170.36359171378	7051.11004030879	10056.4539892508	44.5195599822286	48.2186648782596
5	398110	8874.51888223177	8053.04828707194	11983.6835783076	42.2216974851689	61.4489088448564
6	316230	10406.9412834022	8462.27248649608	13413.220437758	39.115847864124	62.9389378410945
7	251190	11855.2901806891	8451.11272555352	14559.1624610881	35.4833925888556	65.3289798350602
8	199530	13477.5896196296	8626.29885626636	16001.8265805116	32.6211777175389	66.6290048317779
9	158490	15087.6376303405	8639.28435051757	17386.0301205756	29.7957470348852	68.0990328280665
10	125890	16649.6517268054	8483.13663924791	18686.2117579798	26.9992223586087	69.4640548246201
11	100000	18144.9674770542	8200.99691871149	19912.2122127119	24.3215829748441	70.9090828209718
12	79433	19522.3363286925	7807.66525701561	21025.7283463901	21.7981980587861	72.1941078177274
13	63096	20795.0261972477	7334.09037471832	22050.4420855627	19.4269733716238	73.5791318142306
14	50119	21934.904672208	6797.14836937151	22963.9123176801	17.2170682218389	74.9541578107589
15	39811	22956.1737761104	6219.30786951926	23783.7277316833	15.1587436990581	77.6442058039672
16	31623	23805.3504248488	5615.78766636549	24458.7771559322	13.2736494208634	79.1392368001926
17	25119	24515.5201383539	5095.06621861194	25039.3775367135	11.7406595998345	80.4492607968851
18	19953	25128.9998498809	4611.69341264114	25548.6662976272	10.3992476007843	81.7792837935272
19	15849	25685.7142978916	4177.898875469	26023.2733914579	9.23851453137538	83.1243077901313
20	12589	26164.0979184478	3792.03625027298	26437.4650602041	8.24661680105883	84.4343327868238
21	10000	26559.7231299167	3438.34885781907	26781.3579865902	7.376329833548	85.8543607832386
22	7943.3	26949.8420842307	3171.31427497487	27135.792278753	6.71139826023689	87.2593847796912
23	6309.6	27310.6000980414	2948.97003646961	27469.3520489861	6.16286050590524	88.5444107764469
24	5011.9	27644.9786588982	2766.53233677818	27783.0622182181	5.71476791480805	89.8744347730889
25	3981.1	27972.5983805017	2624.05882845679	28095.4078968796	5.35913002830889	91.2494597696173
26	3162.3	28270.9623034501	2513.24650042306	28382.4543958937	5.0801549387802	92.7694897657796
27	2511.9	28556.435262044	2432.21233960272	28659.8264429536	4.86825420195454	94.2995147619166
28	1995.3	28880.4372605608	2380.62158343161	28978.3887661942	4.71225168975124	95.8995447578769
29	1584.9	29149.2909873648	2344.34146197141	29243.4112571769	4.59813530467463	97.349571754216
30	1258.9	29458.0492955229	2330.8741893028	29550.120859039	4.52411448856104	98.6495957509337
31	1000	29767.7174200295	2334.48862125892	29859.1164892988	4.48415776854835	99.9546217476388
32	794.33	30060.062532696	2352.21373361805	30151.9529868003	4.47430373659223	101.32464574418
33	630.96	30398.6910234807	2383.20258112006	30491.9673108132	4.48271683277924	102.629668740885
34	501.19	30713.719949058	2424.90268550494	30809.2964240233	4.5142393328818	104.209697736896
35	398.11	31050.172560926	2476.05654900586	31148.7410997163	4.55933109678673	105.499721733639
36	316.23	31397.3135499958	2540.00140947983	31499.8873857814	4.62508105910492	106.789747730382
37	251.19	31759.4433045158	2615.41696509744	31866.9522376093	4.7077329015915	108.109772727049
38	199.53	32105.3330147139	2693.06210030367	32218.0848509307	4.79486428277826	109.47979572359
39	158.49	32476.3011799095	2781.62440609777	32595.2078174812	4.89548715532947	110.944825719891
40	125.89	32876.3220208845	2879.64101244003	33002.1951085291	5.00576885759176	112.454852716079
41	100	33282.9883761955	2986.34431073224	33416.6959406852	5.12718255748652	113.809875712658
42	79.433	33703.6094738757	3104.63938739848	33846.3007918637	5.26300151790516	115.21490270911
43	63.096	34116.1973596452	3230.3387193639	34268.7906195139	5.40900274602236	116.714929705323
44	50.119	34581.9650208635	3372.92481209708	34746.0634675683	5.570678987361	118.509963700791
45	39.811	35048.8852078698	3529.12199158797	35226.1132733366	5.74981361455672	127.7351336775
46	31.623	35538.027058918	3698.75507277958	35729.9895931807	5.94188244006186	130.13517867144
47	25.119	36041.448932153	3884.07646527678	36250.1322910291	6.15085240483265	131.885214667022
48	19.953	36574.0331375008	4106.99091065792	36803.902976223	6.40704817628126	133.87024966201
49	15.849	37146.3132173138	4336.16828689782	37398.5419642408	6.65812545979242	136.240293656026
50	12.589	37735.8688080386	4589.93785491704	38013.9885332953	6.93500767552811	138.50033565032
51	10	38360.485652607	4871.05945485434	38668.5153544404	7.23675544599889	140.82537564445
52	7.9433	38991.9018749536	5184.15345377551	39335.0207684997	7.57332259009941	143.15041963858
53	6.3096	39689.4701268477	5533.69951765378	40073.381056527	7.93728920904851	145.655468632255
54	5.0119	40378.9232459441	5924.13091885006	40811.1843695514	8.34651530530678	148.110511626057
55	3.9811	41142.5103957275	6372.2062695303	41633.0538683386	8.80409247132741	151.540577617397
56	3.1623	41932.1356515441	6886.38174081394	42493.8378330283	9.32625449314176	154.040621611085
57	2.5119	42738.7701050516	7479.37113727158	43388.2871602637	9.92635785252279	156.790671604142
58	1.9953	43610.2997060211	8167.29083371204	44368.4897197484	10.6074193079384	159.665724596883
59	1.5849	44551.981251277	8979.71159826305	45447.9290375493	11.3956207558115	162.445776589864
60	1.2589	45531.5408766526	9924.38600449436	46600.5863929682	12.2962815802437	165.335829582567
61	1	46614.0992547131	11042.6663635431	47904.224550083	13.3274233870899	168.705894574059
62	0.79433	47767.4545170878	12315.9404836155	49329.6270109355	14.4577604599263	173.585984561738
63	0.63096	48961.8079855283	13880.0955052256	50891.2142952585	15.8274081811607	177.326051552295
64	0.50119	50365.4398001451	15733.4196334008	52765.6897957633	17.3480337851491	181.111122542738
65	0.39811	51812.7595999109	18061.4609820814	54870.5606875436	19.2180943546502	185.331200532084
66	0.31623	53487.9204358942	20567.8301433422	57306.1364023254	21.0333612367374	190.091288520066
67	0.25119	55275.8850083265	24011.4445686925	60265.8521364224	23.4797777334094	195.466391506495
68	0.19953	57159.4459189697	27741.4093996827	63535.7226546171	25.8888650998068	201.871506490323
69	0.15849	59672.8919554844	32373.4964116734	67888.8599421698	28.4805377562774	209.116642472031
70	0.12589	62726.1770062574	37413.7852316032	73036.7346420749	30.8144734243552	217.771801450179
71	0.1	64991.7118671544	43652.4249293955	78290.8475726233	33.8877341575766	228.086993424136
