Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	2356.816085	5890.855262	6344.821336	68.19461646	53.04480887
2	794328.25	3314.041396	6767.161297	7535.074147	63.90789862	63.38999884
3	630957.375	4395.075551	7684.220261	8852.340375	60.23212021	68.79509983
4	501187.2188	5664.796605	8667.282048	10354.30822	56.83201283	71.50514882
5	398107.1563	7055.43277	9664.50585	11965.85997	53.8692274	80.0953078
6	316227.7813	8658.700433	10721.96472	13781.64071	51.0768161	82.28034879
7	251188.6406	10461.58288	11809.46332	15776.82288	48.46341052	88.96047178
8	199526.2344	12513.00029	12810.43172	17907.60557	45.67292545	91.12551277
9	158489.3125	14820.74707	13785.98739	20241.24482	42.92840651	93.50555676
10	125892.5391	17337.40909	14575.18202	22649.98201	40.05303455	95.14058776
11	100000	19773.27401	15351.30126	25032.8747	37.82455566	96.87061776
12	79432.82031	22532.91407	15957.52559	27611.13615	35.30564484	102.2307187
13	63095.73438	25390.53736	16139.4292	30085.88643	32.44197413	106.8458037
14	50118.72266	28232.62039	16171.52572	32536.1199	29.80389911	114.0909387
15	39810.71875	31108.19123	16015.50253	34988.79653	27.24087391	116.8159867
16	31622.77734	33762.42779	15769.89277	37263.80346	25.03652974	125.3511447
17	25118.86523	36337.06476	15432.19085	39478.28251	23.01071695	128.9412137
18	19952.62305	38780.93362	14983.49981	41574.82506	21.12466423	131.5612597
19	15848.93164	41109.81865	14499.55645	43591.90667	19.42789913	139.6914116
20	12589.25391	43327.80216	13968.8938	45523.93255	17.86933385	150.1966036
21	10000	45417.73802	13411.83637	47356.60758	16.45184544	158.5167636
22	7943.282227	47392.17476	12831.86868	49098.62608	15.15011225	164.8318776
23	6309.573242	49265.10667	12203.09887	50753.97873	13.91229258	171.4169996
24	5011.872559	51008.44116	11620.03824	52315.25933	12.83332621	183.3172205
25	3981.071777	52608.13535	11018.01253	53749.53493	11.8287997	185.4222575
26	3162.277588	54096.85319	10510.93978	55108.52366	10.99548567	187.3272915
27	2511.886475	55521.65086	9983.515469	56412.09352	10.19359618	189.1523255
28	1995.262329	56807.36336	9629.023798	57617.65902	9.620372067	191.0023615
29	1584.893188	58044.42008	9146.401581	58760.62767	8.954801944	192.7323945
30	1258.925415	59166.41722	8818.515331	59819.98947	8.477298401	194.4824275
31	1000	60300.95807	8590.040758	60909.7229	8.107397682	196.5674655
32	794.3282471	61360.85068	8446.424954	61939.45504	7.837606408	198.7475035
33	630.9573364	62530.14621	8307.529161	63079.58644	7.567791881	200.7725415
34	501.1872253	63594.85252	8226.10199	64124.6756	7.370381306	202.5675735
35	398.1071777	64633.65209	8228.852043	65155.37575	7.25559429	204.3676095
36	316.2277832	65707.94327	8274.210456	66226.85534	7.177140151	206.3876465
37	251.1886444	66789.33374	8409.67886	67316.69778	7.176545083	208.4176835
38	199.5262299	67881.80749	8587.206877	68422.80255	7.209753578	210.4727225
39	158.4893188	69021.72589	8847.797783	69586.50854	7.304827336	212.5127585
40	125.89254	70196.09658	9155.811605	70790.68344	7.431246661	214.5827975
41	100	71434.08386	9552.619322	72069.97206	7.616767111	216.6578365
42	79.43282318	72732.37712	10059.32346	73424.7143	7.87439454	218.6628714
43	63.09573364	74134.68234	10517.32529	74877.00085	8.074543969	220.8729124
44	50.11872482	75583.21593	11064.7558	76388.81693	8.328468546	222.9679544
45	39.81071854	77141.60902	11673.2356	78019.81973	8.60483893	232.8781354
46	31.62277603	78773.13438	12329.65878	79732.22175	8.895822031	235.1181824
47	25.11886406	80533.21316	13040.5325	81582.19113	9.197918905	237.4032214
48	19.95262337	82387.78303	13790.02722	83533.89518	9.502056977	240.1782734
49	15.84893227	84369.3835	14601.65028	85623.60109	9.818810722	242.8183204
50	12.58925438	86464.79256	15459.04178	87835.8829	10.1368084	245.6133744
51	10	88711.13494	16371.86162	90209.21968	10.45642471	248.4134234
52	7.943282604	91026.85612	17395.70627	92674.15568	10.81907209	251.4484814
53	6.30957365	93495.96493	18404.02214	95290.10174	11.1358992	254.6135404
54	5.011872292	96142.09454	19479.32976	98095.59945	11.45363895	257.6735973
55	3.981071711	98984.85912	20634.11765	101112.6557	11.77509673	260.8586533
56	3.162277699	101890.286	21835.38536	104203.7161	12.09569936	264.0187123
57	2.511886358	105003.2143	23175.91382	107530.4515	12.44655521	267.2837753
58	1.995262384	108151.3772	24563.24241	110905.6954	12.7958954	270.8038373
59	1.584893227	111590.0976	26112.5005	114604.5923	13.17044521	274.1038983
60	1.258925438	115135.4335	27749.56654	118432.2865	13.55080259	277.4939643
61	1	118932.4591	29553.94709	122549.4416	13.95497788	283.8790813
62	0.794328272	122942.8334	31584.57101	126935.1228	14.40796425	287.8241543
63	0.630957365	127133.5077	33732.85139	131532.6349	14.86011057	291.9092283
64	0.501187265	131545.7568	36089.5553	136406.5326	15.34161232	296.4843153
65	0.398107171	136266.3464	38738.04301	141665.6386	15.8694865	301.4444072
66	0.316227764	141247.6897	41624.36592	147253.1754	16.41974957	306.6845052
67	0.251188636	146427.8659	44864.70858	153146.8641	17.034782	312.7996142
68	0.199526235	151994.1076	48514.25585	159548.8696	17.70230875	319.4997392
69	0.158489317	157809.6304	52561.62661	166332.811	18.42135983	327.2948832
70	0.12589255	164036.2301	57124.51132	173698.2861	19.20032779	336.4600552
71	0.100000001	170717.2601	62270.75397	181719.6459	20.03992496	347.1502511
