Time (s)	WE(1).Potential (V)	Corrected time (s)	Index	dWE(1).Potential/dt (V/s)	OCP value (V)
4.53380698855324	-0.000543212890625006	0	1	0	-0.000842554428998161
4.63380698830076	-0.000537109374999997	0.0999999997475243	2	6.10345741733909E-05	
4.73380698804829	-0.0005340576171875	0.199999999495049	3	1.52590801008046E-05	
4.83380698779581	-0.000540161132812494	0.299999999242573	4	-0.000127157254610211	
4.93380698754333	-0.000540161132812494	0.399999998990097	5	8.13796286820434E-05	
5.03380698729086	-0.000531005859375003	0.499999998737621	6	0.000147501530591398	
5.13380698703838	-0.000537109374999997	0.599999998485146	7	-0.000218709799810313	
5.23380698678591	-0.000540161132812494	0.69999999823267	8	4.57770474895369E-05	
5.33380698653343	-0.000543212890625006	0.799999997980194	9	-4.06895233027171E-05	
5.43380698628096	-0.000540161132812494	0.899999997727718	10	8.13788501545787E-05	
5.53380698602848	-0.000540161132812494	0.999999997475243	11	-4.57762689620722E-05	
5.633806985776	-0.000540161132812494	1.09999999722277	12	1.01719442682224E-05	
5.73380698552353	-0.000546264648437503	1.19999999697029	13	-0.000111896813905332	
5.83380698527105	-0.000552368164062497	1.29999999671782	14	-4.06912695325445E-05	
5.93380698501858	-0.000543212890625006	1.39999999646534	15	0.00021871057106182	
6.0338069847661	-0.000540161132812494	1.49999999621286	16	-7.12088440195657E-05	
6.13380698451363	-0.000540161132812494	1.59999999596039	17	-5.08636003360152E-06	
6.23380698426115	-0.000546264648437503	1.69999999570791	18	-0.00010172448673984	
6.33380698400867	-0.00054931640625	1.79999999545544	19	1.52577222252148E-05	
6.4338069837562	-0.000543212890625006	1.89999999520296	20	0.000127157254610211	
6.53380698350372	-0.000546264648437503	1.99999999495049	21	-0.000137328621349297	
6.63380698325125	-0.000543212890625006	2.09999999469801	22	0.000111897206807043	
6.73380698299877	-0.000546264648437503	2.19999999444553	23	-0.00010172448673984	
6.8338069827463	-0.000546264648437503	2.29999999419306	24	4.57756868854631E-05	
6.93380698249382	-0.000543212890625006	2.39999999394058	25	4.57762689620722E-05	
7.03380698224134	-0.000543212890625006	2.49999999368811	26	-3.560296681826E-05	
7.13380698198887	-0.000543212890625006	2.59999999343563	27	1.01729137895745E-05	
7.23380698173639	-0.000543212890625006	2.69999999318316	28	3.88049592459083E-10	
7.33380698148392	-0.000537109374999997	2.79999999293068	29	0.000111896813905332	
7.43380698123144	-0.00054931640625	2.8999999926782	30	-0.000295001111226156	
7.53380698097897	-0.000546264648437503	2.99999999242573	31	0.000218708242755383	
7.63380698072649	-0.000552368164062497	3.09999999217325	32	-0.000188192221685313	
7.73380698047401	-0.000546264648437503	3.19999999192078	33	0.00019327896006871	
7.83380698022154	-0.00054931640625	3.2999999916683	34	-0.000147502505569719	
7.93380697996906	-0.000546264648437503	3.39999999141583	35	0.000111898174509406	
8.03380697971659	-0.00054931640625	3.49999999116335	36	-0.000101725840067957	
8.13380697946411	-0.000543212890625006	3.59999999091087	37	0.000157674643560313	
8.23380697921164	-0.000546264648437503	3.6999999906584	38	-0.000137328621349297	
8.33380697895916	-0.000546264648437503	3.79999999040592	39	5.59482141397893E-05	
8.43380697870668	-0.000552368164062497	3.89999999015345	40	-0.000122070705401711	
8.53380697845421	-0.000546264648437503	3.99999998990097	41	0.00018310644372832	
8.63380697820173	-0.000543212890625006	4.0999999896485	42	-3.56045202352107E-05	
8.73380697794926	-0.000552368164062497	4.19999998939602	43	-0.000183104886673391	
8.83380697769678	-0.000540161132812494	4.29999998914354	44	0.000340778758982196	
8.93380697744431	-0.00054931640625	4.39999998889107	45	-0.000340778555255383	
9.03380697719183	-0.00054931640625	4.49999998863859	46	0.000147500948514789	
9.13380697693935	-0.00054931640625	4.59999998838612	47	-3.05173834931338E-05	
9.23380697668688	-0.000552368164062497	4.69999998813364	48	-5.59489890292753E-05	
9.3338069764344	-0.000546264648437503	4.79999998788117	49	0.000147502301842906	
9.43380697618193	-0.000552368164062497	4.89999998762869	50	-0.00019327896006871	
9.53380697592945	-0.000543212890625006	4.99999998737621	51	0.000259400490904227	
9.63380697567698	-0.000552368164062497	5.09999998712374	52	-0.00029500326490961	
9.7338069754245	-0.000555419921874994	5.19999998687126	53	8.13803999335505E-05	
9.83380697517202	-0.00054931640625	5.29999998661879	54	0.000116983370389789	
9.93380697491955	-0.00054931640625	5.39999998636631	55	-8.1380014307797E-05	
10.0338069746671	-0.00054931640625	5.49999998611383	56	2.03450526896631E-05	
10.1338069744146	-0.000555419921874994	5.59999998586136	57	-0.000111897978058551	
10.2338069741621	-0.000546264648437503	5.69999998560888	58	0.000239054075791501	
10.3338069739096	-0.00054931640625	5.79999998535641	59	-0.000183105861651711	
10.4338069736572	-0.000540161132812494	5.89999998510393	60	0.00023396713368129	
10.5338069734047	-0.000552368164062497	5.99999998485146	61	-0.00034077835152857	
10.6338069731522	-0.000546264648437503	6.09999998459898	62	0.00028483071946539	
10.7338069728997	-0.00054931640625	6.1999999843465	63	-0.000167847363627516	
10.8338069726473	-0.00054931640625	6.29999998409403	64	5.59491854801308E-05	
10.9338069723948	-0.000540161132812494	6.39999998384155	65	0.000157672897330485	
11.0338069721423	-0.00054931640625	6.49999998358908	66	-0.000274656835244969	
11.1338069718898	-0.000552368164062497	6.5999999833366	67	8.13794322311878E-05	
11.2338069716374	-0.000546264648437503	6.69999998308413	68	0.000116984920168761	
11.3338069713849	-0.00054931640625	6.79999998283165	69	-0.000137329974677414	
11.4338069711324	-0.000552368164062497	6.89999998257917	70	1.94024796229542E-10	
